Insumo ;Emissão ;Und.;Qtd.;Valot total;Sectorization
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 3,48M - MERIDIONAL TELHAS;30/10/2020;m;31,2;R$ 2.082,78;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 8,36M - MERIDIONAL TELHAS;30/10/2020;m;100,32;R$ 6.671,28;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 4,26M - MERIDIONAL TELHAS;30/10/2020;m;17,04;R$ 1.133,16;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 3,43M - MERIDIONAL TELHAS;30/10/2020;m;20,58;R$ 1.368,57;Roofing
"TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,27M - MERIDIONAL TELHAS
";30/10/2020;m;10,54;R$ 700,91;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 9,01M - MERIDIONAL TELHAS;30/10/2020;m;45,05;R$ 2.995,83;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,83M - MERIDIONAL TELHAS;30/10/2020;m;186,56;R$ 12.406,24;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 8,75M - MERIDIONAL TELHAS;30/10/2020;m;26,25;R$ 1.745,63;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 6,08M - MERIDIONAL TELHAS;30/10/2020;m;194,56;R$ 12.938,24;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,57M - MERIDIONAL TELHAS;30/10/2020;m;4,71;R$ 313,22;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 6,58M - MERIDIONAL TELHAS;30/10/2020;m;78,9;R$ 5.250,84;Roofing
CUMEEIRA TRAP 25 - MERIDIONAL TELHAS;30/10/2020;und.;56;R$ 1.674,40;Roofing
